dataset_ID;gene_symbol;HGNC_updated;system;stress_type;technique;consensus;comb_technique;consensus_comb_technique (+1 reward);consensus_class
U2OS_sorb_PABPC1_bp_wt;CORO2A;WAHR;U-2 OS;sorbitol;bp;9;bp_fanci;10;high
U2OS_sorb_PABPC1_bp_G3BPko;CORO2A;WAHR;U-2 OS;sorbitol;bp;9;bp_fanci;10;high
U2OS_sorb_G3BP1_bp_wt;CORO2A;WAHR;U-2 OS;sorbitol;bp;9;bp_fanci;10;high
HeLa_ars_G3BP1_fanci_wt;CORO2A;WAHR;HeLa;arsenite;fanci;9;bp_fanci;10;high
HeLa_heat_G3BP1_fanci_wt;CORO2A;WAHR;HeLa;heatshock;fanci;9;bp_fanci;10;high
SKNBE_ars_G3BP1_bp_FUS;CORO2A;WAHR;SK-N-BE;arsenite;bp;9;bp_fanci;10;high
SMMC_ars_G3BP1_bp_wt;CORO2A;WAHR;SMMC-7721;arsenite;bp;9;bp_fanci;10;high
Tcell_stim_G3BP1_bp_wt;CORO7;WAHR;T cell;stimulation;bp;1;bp;1;low
HeLa_ars_G3BP1_pic_wt;COX10;WAHR;HeLa;arsenite;pic;2;pic_fanci;3;low
HeLa_UV_G3BP1_fanci_wt;COX10;WAHR;HeLa;UV-light;fanci;2;pic_fanci;3;low
HeLa_osm_G3BP1_fanci_wt;COX11;WAHR;HeLa;osmosis;fanci;1;fanci;1;low
HeLa_ars_G3BP1_fanci_wt;COX15;WAHR;HeLa;arsenite;fanci;3;fanci;3;low
HeLa_heat_G3BP1_fanci_wt;COX15;WAHR;HeLa;heatshock;fanci;3;fanci;3;low
HeLa_osm_G3BP1_fanci_wt;COX15;WAHR;HeLa;osmosis;fanci;3;fanci;3;low
PC3_ars_G3BP1_pl_wt;COX16;WAHR;PC3;arsenite;bp;4;bp_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;COX16;WAHR;HeLa;arsenite;fanci;4;bp_fanci;5;medium
HeLa_heat_G3BP1_fanci_wt;COX16;WAHR;HeLa;heatshock;fanci;4;bp_fanci;5;medium
HeLa_osm_G3BP1_fanci_wt;COX16;WAHR;HeLa;osmosis;fanci;4;bp_fanci;5;medium
HeLa_heat_G3BP1_fanci_wt;COX18;WAHR;HeLa;heatshock;fanci;1;fanci;1;low
SMMC_ars_G3BP1_bp_wt;COX19;WAHR;SMMC-7721;arsenite;bp;1;bp;1;low
HeLa_heat_G3BP1_fanci_wt;COX20;WAHR;HeLa;heatshock;fanci;2;fanci;2;low
HeLa_osm_G3BP1_fanci_wt;COX20;WAHR;HeLa;osmosis;fanci;2;fanci;2;low
PC3_ars_G3BP1_pl_wt;COX4I1;WAHR;PC3;arsenite;bp;3;bp_pl;4;medium
HEK293T_heat_elF4A1_pl_wt;COX4I1;WAHR;HEK293T;heatshock;pl;3;bp_pl;4;medium
HEK293T_hip_elF4A1_pl_wt;COX4I1;WAHR;HEK293T;hippuristanol;pl;3;bp_pl;4;medium
PC3_ars_G3BP1_pl_wt;COX5A;WAHR;PC3;arsenite;bp;2;bp_pic;3;low
HeLa_ars_G3BP1_pic_wt;COX5A;WAHR;HeLa;arsenite;pic;2;bp_pic;3;low
PC3_ars_G3BP1_pl_wt;COX5B;WAHR;PC3;arsenite;bp;1;bp;1;low
